"","outcome","predictor","beta","conf_low....conf_low_predictor","conf_high....conf_high_predictor","p_value....p_value_predictor","p.correct","sig_label"
"1","DTI-FA","Weather: 10 metre wind speed",-0.0587644957807608,-0.068432494222455,-0.0490964973390667,1.1865470189948e-32,1.77982052849221e-30,"*"
"2","DTI-FA","Weather: Surface net short-wave radiation flux",0.0223391711082752,0.0126704401397761,0.0320079020767744,5.96024090790335e-06,1.90220454507554e-05,"*"
"3","DTI-FA","Weather: 2 metre temperature",0.0182338924094503,0.00856021745982637,0.0279075673590742,0.000220721173635208,0.000591217429380021,"*"
"4","DTI-FA","Weather: 10 metre U wind component",-0.0291312258117892,-0.0388067362500782,-0.0194557153735002,3.6435796949286e-09,1.5615341549694e-08,"*"
"5","DTI-FA","Weather: 10 metre V wind component",-0.0465795121400796,-0.0562340494965966,-0.0369249747835627,3.40424653758949e-21,3.64740700456017e-20,"*"
"6","DTI-FA","Weather: Surface pressure",0.0234568662067248,0.0137551603917013,0.0331585720217482,2.15732118835069e-06,7.70471852982391e-06,"*"
"7","DTI-FA","Weather: Time-mean surface latent heat flux",0.0411933574535286,0.0315507881630437,0.0508359267440134,5.83494114682086e-17,4.16781510487204e-16,"*"
"8","DTI-FA","Weather: Time-mean surface net short-wave radiation flux",0.0541909314816658,0.0445537185164547,0.0638281444468768,3.40029861330743e-28,1.27511197999029e-26,"*"
"9","DTI-FA","Weather: Time-mean surface downward long-wave radiation flux",0.0199753350071128,0.0103084113751772,0.0296422586390484,5.131071525988e-05,0.000145219005452491,"*"
"10","DTI-FA","Weather: Time-mean large-scale precipitation rate",-0.0438047788534632,-0.0534840812823519,-0.0341254764245744,7.67517055106161e-19,6.05934517189074e-18,"*"
"11","DTI-FA","Weather: Surface downward UV radiation",0.0547839711977094,0.0451471214597952,0.0644208209356235,8.84442588375085e-29,4.42221294187542e-27,"*"
"12","DTI-FA","Weather: Time-mean surface direct short-wave radiation flux",0.0492410144842584,0.0395997270979766,0.0588823018705402,1.48904987698695e-23,1.86131234623369e-22,"*"
"13","DTI-FA","Weather: Time-mean surface downward UV radiation flux",0.0547839930582298,0.0451471433737596,0.0644208427427001,8.84397991512883e-29,4.42221294187542e-27,"*"
"14","DTI-FA","Weather: Time-mean surface net long-wave radiation flux",0.028633402404101,0.0189989669365538,0.0382678378716483,5.76078540129687e-09,2.3354535410663e-08,"*"
"15","DTI-FA","Weather: Total precipitation",-0.0341623202346993,-0.0438680066127425,-0.0244566338566561,5.33839789115055e-12,2.66919894557527e-11,"*"
"16","DTI-FA","Self-Reports: Recent Depressive Symptoms",-0.00966782287102244,-0.0198203629191451,0.00048471717710024,0.061986211087114,0.0999777598179258,""
"17","DTI-FA","Self-Reports: Neuroticism",0.00257326211908781,-0.00842236785855473,0.0135688920967303,0.646450380123912,0.74021035892051,""
"18","DTI-FA","PGRS: Anxiety Disorder",-0.00610948756596291,-0.0157614102244692,0.00354243509254343,0.214737282660051,0.290185517108176,""
"19","DTI-FA","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.00296362655214491,-0.0126160080864944,0.00668875498220461,0.547309847606323,0.636406799542236,""
"20","DTI-FA","PGRS: Autism Spectrum Disorder",-0.00144902182862486,-0.011087466864937,0.00818942320768725,0.768249403117202,0.839571387644951,""
"21","DTI-FA","PGRS: Bipolar Disorder",-0.0148230685763574,-0.0244667359101162,-0.00517940124259864,0.00259114792051836,0.0054742561701092,"*"
"22","DTI-FA","PGRS: Major Depressive Disorder",-0.0112564521259829,-0.0209004201928249,-0.00161248405914091,0.0221581104152947,0.0382036386470598,"*"
"23","DTI-FA","PGRS: Obsessive-Compulsive Disorder",-0.000516661271508055,-0.0101589193765486,0.00912559683353252,0.916356718608483,0.941462382132004,""
"24","DTI-FA","PGRS: Schizophrenia",-0.0119887032970709,-0.0216317419109362,-0.00234566468320563,0.0148226786479256,0.0264690690141529,"*"
"25","DTI-FA","PGRS: Alzheimer's Disease",-0.00561791635702803,-0.0152563578725745,0.00402052515851848,0.25327979084008,0.33621211173462,""
"26","DTI-MD","Weather: 10 metre wind speed",0.047189792061181,0.0373058402446078,0.0570737438777541,8.66165688980037e-21,8.66165688980037e-20,"*"
"27","DTI-MD","Weather: Surface net short-wave radiation flux",-0.0188771888483762,-0.0287542142419502,-0.00900016345480228,0.000179951972976403,0.000490778108117463,"*"
"28","DTI-MD","Weather: 2 metre temperature",-0.0139128270547745,-0.0237948322200021,-0.00403082188954691,0.00579184209618525,0.0111381578772793,"*"
"29","DTI-MD","Weather: 10 metre U wind component",0.0197067769296063,0.009820721116579,0.0295928327426337,9.35994169573909e-05,0.000259998380437197,"*"
"30","DTI-MD","Weather: 10 metre V wind component",0.0358523229449228,0.0259846306709937,0.045720015218852,1.09164582123455e-12,5.8481026137565e-12,"*"
"31","DTI-MD","Weather: Surface pressure",-0.00671172137457338,-0.0166247274367968,0.00320128468765008,0.184495467803767,0.261078492175141,""
"32","DTI-MD","Weather: Time-mean surface latent heat flux",-0.0358077290087084,-0.0456600923152002,-0.0259553657022166,1.0743163772347e-12,5.8481026137565e-12,"*"
