"","outcome","predictor","std_beta","conf_low","conf_high","p_value","p.correct","sig_label"
"1","DTI-FA","Weather: 10 metre wind speed",-0.0115059637874168,-0.0143007390411554,-0.00871118853367825,7.32635635044258e-16,1.80579205820768e-15,"*"
"2","DTI-FA","Weather: Surface net short-wave radiation flux",-0.0126618207028914,-0.0150009177266152,-0.0103227236791676,2.97504956158772e-26,9.64136431996021e-26,"*"
"3","DTI-FA","Weather: 2 metre temperature",-0.0135354502212752,-0.0158736663554794,-0.011197234087071,8.86628700160715e-30,3.16653107200255e-29,"*"
"4","DTI-FA","Weather: 10 metre U wind component",0.0033272269945213,0.000521832261155923,0.00613262172788668,0.0201029035639109,0.0362681249864372,"*"
"5","DTI-FA","Weather: 10 metre V wind component",-0.00820826611668718,-0.0105860650184022,-0.00583046721497215,1.34771702812957e-11,3.14467306563567e-11,"*"
"6","DTI-FA","Weather: Surface pressure",0.0299725434035046,0.0272956239195667,0.0326494628874425,5.77956273866323e-106,5.3232814698214e-105,"*"
"7","DTI-FA","Weather: Time-mean surface latent heat flux",0.0299212494012203,0.0272906575593697,0.0325518412430709,2.89176690580631e-109,2.81144004731169e-108,"*"
"8","DTI-FA","Weather: Time-mean surface net short-wave radiation flux",0.0197925341659864,0.0171642707500587,0.022420797581914,3.85136621061005e-49,2.04239117229321e-48,"*"
"9","DTI-FA","Weather: Time-mean surface downward long-wave radiation flux",-0.0130732863471941,-0.0154122466262543,-0.010734326068134,7.05094208414684e-28,2.32814125419943e-27,"*"
"10","DTI-FA","Weather: Time-mean large-scale precipitation rate",-0.0401143669698452,-0.0427880447364862,-0.0374406892032042,1.36221843064995e-187,7.94627417879139e-186,"*"
"11","DTI-FA","Weather: Surface downward UV radiation",0.0190675940719331,0.0164531195896212,0.021682068554245,3.29438475383235e-46,1.47927241164897e-45,"*"
"12","DTI-FA","Weather: Time-mean surface direct short-wave radiation flux",0.019052024430195,0.016412832562706,0.021691216297684,2.59895298646735e-45,1.10930920154094e-44,"*"
"13","DTI-FA","Weather: Time-mean surface downward UV radiation flux",0.0190675249609747,0.0164530510912053,0.0216819988307441,3.29666423167484e-46,1.47927241164897e-45,"*"
"14","DTI-FA","Weather: Time-mean surface net long-wave radiation flux",-0.00201363838314781,-0.00447863040011665,0.000451353633821023,0.109368214731083,0.177217014610551,""
"15","DTI-FA","Weather: Total precipitation",-0.0418974867305159,-0.04474015902676,-0.0390548144342718,3.45983856392167e-181,1.21094349737258e-179,"*"
"16","DTI-FA","Self-Reports: Recent Depressive Symptoms",0.00283590845616008,-0.00119844633492523,0.00687026324724539,0.168294653400066,0.260633312787713,""
"17","DTI-FA","Self-Reports: Neuroticism",0.0127104066993309,0.00563711539262803,0.0197836980060337,0.000429044553909942,0.000782112468064998,"*"
"18","DTI-FA","PGRS: Anxiety Disorder",-0.0384518008219151,-0.078194315718323,0.00129071407449283,0.0580569465795113,0.100593719320935,""
"19","DTI-FA","PGRS: Attention-Deficit/Hyperactivity Disorder",0.0154046744190692,-0.0242990310849609,0.0551083799230994,0.44707265110552,0.579538621803452,""
"20","DTI-FA","PGRS: Autism Spectrum Disorder",0.01346216049077,-0.0262666157006509,0.0531909366821909,0.506675976184952,0.63334497023119,""
"21","DTI-FA","PGRS: Bipolar Disorder",-0.0261520513990309,-0.0658348430166088,0.0135307402185471,0.196614356094915,0.294081301851369,""
"22","DTI-FA","PGRS: Major Depressive Disorder",-0.0103155478991805,-0.0499935899394433,0.0293624941410822,0.610417859513238,0.719166779985113,""
"23","DTI-FA","PGRS: Obsessive-Compulsive Disorder",0.00157411495031177,-0.0381539932493751,0.0413022231499986,0.938107481940966,0.977195293688506,""
"24","DTI-FA","PGRS: Schizophrenia",0.00781829922229832,-0.031899325679185,0.0475359241237816,0.699674307831204,0.774955720699119,""
"25","DTI-FA","PGRS: Alzheimer's Disease",-0.0110303090110364,-0.0507285103246259,0.028667892302553,0.586097759436705,0.707359364837402,""
"26","DTI-MD","Weather: 10 metre wind speed",0.0081909369809204,0.00448835530212399,0.0118935186597168,1.45618549026833e-05,2.78318289313983e-05,"*"
"27","DTI-MD","Weather: Surface net short-wave radiation flux",0.0153083075175674,0.0122080231177203,0.0184085919174145,4.0201796352832e-22,1.21298523478372e-21,"*"
"28","DTI-MD","Weather: 2 metre temperature",0.0153856303974858,0.0122857524270186,0.018485508367953,2.4621147662039e-22,7.55912428220496e-22,"*"
"29","DTI-MD","Weather: 10 metre U wind component",-0.0180177951417916,-0.0217284160061205,-0.0143071742774627,1.9010365953165e-21,5.63866786746418e-21,"*"
"30","DTI-MD","Weather: 10 metre V wind component",0.00719617284384514,0.00404536635425596,0.0103469793334343,7.61765094711545e-06,1.51487376789228e-05,"*"
"31","DTI-MD","Weather: Surface pressure",-0.0350455460486928,-0.0385943790259396,-0.031496713071446,5.46554254786897e-83,4.55461878989081e-82,"*"
"32","DTI-MD","Weather: Time-mean surface latent heat flux",-0.0285574578873917,-0.0320532586680467,-0.0250616571067366,1.7835665066467e-57,1.04041379554391e-56,"*"
"33","DTI-MD","Weather: Time-mean surface net short-wave radiation flux",-0.0255870357485452,-0.0290669760405088,-0.0221070954565815,6.1686555697699e-47,2.91760736408036e-46,"*"
"34","DTI-MD","Weather: Time-mean surface downward long-wave radiation flux",0.0176570297497034,0.0145580962609236,0.0207559632384832,6.65555329750292e-29,2.28376828835884e-28,"*"
"35","DTI-MD","Weather: Time-mean large-scale precipitation rate",0.040632587434141,0.0370763563634144,0.0441888185048675,3.09885593101073e-110,3.38937367454298e-109,"*"
"36","DTI-MD","Weather: Surface downward UV radiation",-0.0246119831249131,-0.0280737743085011,-0.0211501919413251,5.24003863194836e-44,2.13362342537277e-43,"*"
"37","DTI-MD","Weather: Time-mean surface direct short-wave radiation flux",-0.0253666306469265,-0.0288605220803038,-0.0218727392135492,8.22908510488189e-46,3.60022473338583e-45,"*"
"38","DTI-MD","Weather: Time-mean surface downward UV radiation flux",-0.0246119151920263,-0.0280737056014444,-0.0211501247826082,5.24261755948739e-44,2.13362342537277e-43,"*"
"39","DTI-MD","Weather: Time-mean surface net long-wave radiation flux",0.0105063576430413,0.00724241016111418,0.0137703051249684,2.84597751774919e-10,6.55323770534352e-10,"*"
"40","DTI-MD","Weather: Total precipitation",0.0429922296071338,0.0392127667687653,0.0467716924455023,2.74679762824785e-109,2.81144004731169e-108,"*"
"41","DTI-MD","Self-Reports: Recent Depressive Symptoms",-0.00362288317838179,-0.00899302292331922,0.00174725656655564,0.186091418739649,0.285666651574023,""
"42","DTI-MD","Self-Reports: Neuroticism",-0.0221709956347514,-0.0313474367854489,-0.012994554484054,2.19679242650235e-06,4.54910039974349e-06,"*"
"43","DTI-MD","PGRS: Anxiety Disorder",0.0368816873655725,-0.00725050031348506,0.0810138750446301,0.101585580433846,0.167712043169086,""
"44","DTI-MD","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.0249104485004476,-0.0689794082051927,0.0191585112042976,0.268040954876899,0.394177874818969,""
"45","DTI-MD","PGRS: Autism Spectrum Disorder",-0.0206918102980714,-0.0647920262060584,0.0234084056099155,0.357883941239185,0.501037517734859,""
"46","DTI-MD","PGRS: Bipolar Disorder",-0.000702608483278404,-0.044774470789086,0.0433692538225292,0.975076116090506,0.996391717787106,""
"47","DTI-MD","PGRS: Major Depressive Disorder",0.0180115181018223,-0.0260322436966545,0.0620552799002991,0.422925289584103,0.56497653188716,""
"48","DTI-MD","PGRS: Obsessive-Compulsive Disorder",-0.00314154580578352,-0.0472453532087383,0.0409622615971713,0.888982335651469,0.937180173126548,""
"49","DTI-MD","PGRS: Schizophrenia",-0.0103982058851391,-0.0544897588404818,0.0336933470702036,0.643971505450919,0.738603783875905,""
"50","DTI-MD","PGRS: Alzheimer's Disease",0.0164722541079051,-0.0275956215033336,0.0605401297191439,0.463874936941812,0.592892686143075,""
"51","DTI-RD","Weather: 10 metre wind speed",0.00899499613224715,0.00575672334031836,0.0122332689241759,5.24114253972464e-08,1.14649993056477e-07,"*"
"52","DTI-RD","Weather: Surface net short-wave radiation flux",0.015290671905845,0.0125809389906885,0.0180004048210015,2.21148564818865e-28,7.44249977755797e-28,"*"
"53","DTI-RD","Weather: 2 metre temperature",0.0156917702108214,0.0129826335793143,0.0184009068423284,8.22291563983336e-30,2.99793799368925e-29,"*"
"54","DTI-RD","Weather: 10 metre U wind component",-0.0129412005465663,-0.0161879872188627,-0.00969441387426994,5.79373961530163e-15,1.38891018175039e-14,"*"
"55","DTI-RD","Weather: 10 metre V wind component",0.00761780305886355,0.00486265773046558,0.0103729483872615,6.0304084845344e-08,1.30286603060928e-07,"*"
"56","DTI-RD","Weather: Surface pressure",-0.0338977680217745,-0.0369983933665561,-0.030797142676993,3.76934001860105e-101,3.29817251627592e-100,"*"
"57","DTI-RD","Weather: Time-mean surface latent heat flux",-0.0295677628878953,-0.0326206294411431,-0.0265148963346475,6.48264676627942e-80,5.15665083681317e-79,"*"
"58","DTI-RD","Weather: Time-mean surface net short-wave radiation flux",-0.0233054538108156,-0.0263487933318299,-0.0202621142898012,9.49799208574468e-51,5.19421442189162e-50,"*"
"59","DTI-RD","Weather: Time-mean surface downward long-wave radiation flux",0.0170601026122836,0.0143515070648101,0.0197686981597571,6.23549828391523e-35,2.32172808443652e-34,"*"
"60","DTI-RD","Weather: Time-mean large-scale precipitation rate",0.0406782940506163,0.0375739631575353,0.0437826249436974,5.05969334848285e-144,7.37871946653748e-143,"*"
"61","DTI-RD","Weather: Surface downward UV radiation",-0.0223805929692821,-0.0254081030897135,-0.0193530828488507,2.00873133391247e-47,9.77038060552033e-47,"*"
"62","DTI-RD","Weather: Time-mean surface direct short-wave radiation flux",-0.0229541088201934,-0.0260097560294865,-0.0198984616109002,6.58632907810819e-49,3.39002231961451e-48,"*"
