"","outcome","predictor","beta","conf_low....conf_low_predictor","conf_high....conf_high_predictor","p_value....p_value_predictor"
"1","lh_bankssts_volume","si10_at_age",-0.0154317339780684,-0.0250941292192358,-0.00576933873690107,0.00174752341671416
"2","lh_bankssts_volume","d2m_at_age",-0.000359800579564272,-0.0100384040192563,0.0093188028601278,0.941914630771183
"3","lh_bankssts_volume","t2m_at_age",-0.00121943042294594,-0.0109015361822974,0.00846267533640551,0.805017470189531
"4","lh_bankssts_volume","u10_at_age",-0.0164985495728812,-0.0261643712152682,-0.00683272793049425,0.000822073713031755
"5","lh_bankssts_volume","v10_at_age",-0.0141982488599572,-0.0238573595074783,-0.00453913821243615,0.00396526766757635
"6","lh_bankssts_volume","sp_at_age",0.018460479717659,0.00876498491674224,0.0281559745185759,0.000190330474076542
"7","lh_bankssts_volume","avg_slhtf_at_age",0.0102815729007031,0.000619753723835144,0.0199433920775711,0.0370079385309878
"8","lh_bankssts_volume","avg_snswrf_at_age",0.0146942311881435,0.00503292747541515,0.0243555349008719,0.00287441606369011
"9","lh_bankssts_volume","avg_sdlwrf_at_age",-0.000928724415764251,-0.0106044489449317,0.00874700011340316,0.850772406040195
"10","lh_bankssts_volume","avg_lsprate_at_age",-0.0198293753820757,-0.0295104834571346,-0.0101482673070168,5.96721194465014e-05
"11","lh_bankssts_volume","uvb_at_age",0.0143462383784747,0.00468478483417619,0.0240076919227732,0.00361163210934867
"12","lh_bankssts_volume","avg_sdirswrf_at_age",0.0140457926081238,0.00438362058457178,0.0237079646316759,0.00438460473116572
"13","lh_bankssts_volume","avg_sduvrf_at_age",0.0143462895432549,0.00468483604198977,0.02400774304452,0.00361151203201766
"14","lh_bankssts_volume","avg_snlwrf_at_age",0.00368884458138287,-0.00596360694468514,0.0133412961074509,0.453825373322475
"15","lh_bankssts_volume","tp_at_age",-0.0218875826659221,-0.0315876983274768,-0.0121874670043675,9.78164574703067e-06
"16","lh_bankssts_volume","RDS1",-0.0143161508602186,-0.0244786219314915,-0.00415367978894568,0.00576310121557717
"17","lh_bankssts_volume","N1",-0.000180411052393563,-0.0111591596982509,0.0107983375934638,0.974305508590585
"18","lh_bankssts_volume","ANX",-0.00316438748681735,-0.0128309749887651,0.00650220001513044,0.521121076175072
"19","lh_bankssts_volume","ADHD",-0.0142737089215268,-0.0239392286718654,-0.00460818917118819,0.00380004077204359
"20","lh_bankssts_volume","ASD",0.00267744087543188,-0.00697469110441923,0.012329572855283,0.5866496930307
"21","lh_bankssts_volume","BIP",0.0053668728072014,-0.00429244878936725,0.0150261944037701,0.276149135901506
"22","lh_bankssts_volume","MDD",-0.00244355093756506,-0.0121024417501401,0.00721533987500994,0.619996498555994
