"","outcome","weather","added_var","n_obs","df","f_value","p_value","r2_base","r2_ext","delta_r2","p_corrected"
"1","FA_Mean","si10_at_age","RDS1",28817,1,3.17760523785905,0.0746645974124705,0.251441160681976,0.251523731231624,8.25705496476647e-05,0.266659276473109
"2","FA_Mean","si10_at_age","N1",25080,1,0.161781004182291,0.687525484669843,0.244689919541151,0.244694794238349,4.87469719762101e-06,0.824847024544362
"3","FA_Mean","si10_at_age","ANX",30711,1,1.61929938966378,0.203199143396083,0.255412082185286,0.255451356638468,3.92744531816369e-05,0.449980164587245
"4","FA_Mean","si10_at_age","ADHD",30711,1,0.561823965617411,0.453532015089456,0.255412082185286,0.255425709121269,1.36269359828356e-05,0.683716605662497
"5","FA_Mean","si10_at_age","ASD",30711,1,0.00448653361316523,0.946596794267841,0.255412082185286,0.255412191007302,1.08822015565391e-07,0.951885044515147
"6","FA_Mean","si10_at_age","BIP",30711,1,10.7793368331263,0.00102754165341042,0.255412082185286,0.255673446008314,0.00026136382302816,0.023463874906013
"7","FA_Mean","si10_at_age","MDD",30711,1,4.43239453003445,0.0352711054208429,0.255412082185286,0.255519575538635,0.000107493353348809,0.141714262851601
"8","FA_Mean","si10_at_age","OCD",30711,1,0.115921261582723,0.733503348008538,0.255412082185286,0.255414893874805,2.81168951909994e-06,0.824847024544362
"9","FA_Mean","si10_at_age","SCZ",30711,1,5.67748573161871,0.0171900239008302,0.255412082185286,0.25554976560387,0.000137683418583778,0.094914242397222
"10","FA_Mean","si10_at_age","AD",30711,1,1.93491972511843,0.164231287406668,0.255412082185286,0.255459011204941,4.69290196553618e-05,0.402747026337879
"11","FA_Mean","d2m_at_age","RDS1",28817,1,3.52738742659204,0.0603729258622775,0.248892368167783,0.248984338838535,9.19706707524226e-05,0.223603429119546
"12","FA_Mean","d2m_at_age","N1",25080,1,0.138049340926356,0.710231124217884,0.242049173380536,0.242053347555181,4.17417464498859e-06,0.824847024544362
"13","FA_Mean","d2m_at_age","ANX",30711,1,1.58831060020048,0.207577247775762,0.252796156943139,0.252834815174397,3.86582312580375e-05,0.449980164587245
"14","FA_Mean","d2m_at_age","ADHD",30711,1,0.518975172826172,0.471284657008901,0.252796156943139,0.252808788830817,1.26318876783604e-05,0.694279498402734
"15","FA_Mean","d2m_at_age","ASD",30711,1,0.005835652976206,0.93910817288298,0.252796156943139,0.252796298985666,1.4204252724026e-07,0.950135140400953
"16","FA_Mean","d2m_at_age","BIP",30711,1,10.6412616761696,0.00110712895093088,0.252796156943139,0.253055080532485,0.000258923589345872,0.023463874906013
"17","FA_Mean","d2m_at_age","MDD",30711,1,4.44612427797284,0.0349886300673411,0.252796156943139,0.252904362039689,0.000108205096550351,0.141699793156848
"18","FA_Mean","d2m_at_age","OCD",30711,1,0.116558799361278,0.732799477025847,0.252796156943139,0.252798994028686,2.83708554749129e-06,0.824847024544362
"19","FA_Mean","d2m_at_age","SCZ",30711,1,5.8204976330774,0.0158462862536512,0.252796156943139,0.252937803752215,0.00014164680907619,0.0899984847168898
"20","FA_Mean","d2m_at_age","AD",30711,1,1.86982246234077,0.171505425901896,0.252796156943139,0.252841666534475,4.55095913362014e-05,0.41161302216455
"21","FA_Mean","t2m_at_age","RDS1",28817,1,3.50301034159484,0.0612675123264584,0.248709595712357,0.248800953094315,9.13573819576186e-05,0.225986725794314
"22","FA_Mean","t2m_at_age","N1",25080,1,0.144071418614866,0.704269771948477,0.241834734458258,0.241839091952875,4.35749461685786e-06,0.824847024544362
"23","FA_Mean","t2m_at_age","ANX",30711,1,1.59292239901817,0.206918689540526,0.252621684904833,0.252660464430727,3.87795258935397e-05,0.449980164587245
"24","FA_Mean","t2m_at_age","ADHD",30711,1,0.511021626913356,0.474702371893326,0.252621684904833,0.252634126110279,1.24412054457457e-05,0.694279498402734
"25","FA_Mean","t2m_at_age","ASD",30711,1,0.00687375773396246,0.933925131431837,0.252621684904833,0.252621852254378,1.67349544666351e-07,0.950135140400953
"26","FA_Mean","t2m_at_age","BIP",30711,1,10.6697420005416,0.00109021744620263,0.252621684904833,0.252881361858145,0.000259676953311916,0.023463874906013
"27","FA_Mean","t2m_at_age","MDD",30711,1,4.45290878452576,0.0348499203068101,0.252621684904833,0.252730080396052,0.000108395491218161,0.141699793156848
"28","FA_Mean","t2m_at_age","OCD",30711,1,0.11981263898802,0.729240158715879,0.252621684904833,0.252624601870719,2.91696588589074e-06,0.824847024544362
"29","FA_Mean","t2m_at_age","SCZ",30711,1,5.83577343222251,0.0157093045681828,0.252621684904833,0.252763736554251,0.000142051649417219,0.0899984847168898
"30","FA_Mean","t2m_at_age","AD",30711,1,1.88230449386665,0.170082483680057,0.252621684904833,0.25266750897501,4.58240701761703e-05,0.409289773475818
"31","FA_Mean","u10_at_age","RDS1",28817,1,3.4215237242201,0.0643618275829053,0.248913742688679,0.249002950931292,8.92082426124652e-05,0.236431203365775
"32","FA_Mean","u10_at_age","N1",25080,1,0.219462924120334,0.639453521769251,0.241756980063433,0.24176361846346,6.6384000266817e-06,0.824847024544362
"33","FA_Mean","u10_at_age","ANX",30711,1,1.51822615005452,0.217897564454564,0.252950807991803,0.252987752858831,3.69448670279326e-05,0.466923352402637
"34","FA_Mean","u10_at_age","ADHD",30711,1,0.507613389666633,0.476179245516611,0.252950807991803,0.252963160780329,1.23527885257935e-05,0.694279498402734
"35","FA_Mean","u10_at_age","ASD",30711,1,0.0246793682900863,0.875169683654035,0.252950807991803,0.25295140857449,6.00582686804962e-07,0.936566843387196
"36","FA_Mean","u10_at_age","BIP",30711,1,10.6299898078358,0.00111389522502869,0.252950807991803,0.253209403875099,0.000258595883295243,0.023463874906013
"37","FA_Mean","u10_at_age","MDD",30711,1,4.46557062965349,0.0345925837657502,0.252950807991803,0.253059463790898,0.000108655799094248,0.141699793156848
"38","FA_Mean","u10_at_age","OCD",30711,1,0.132095097422952,0.716272086931515,0.252950807991803,0.252954022569664,3.21457786073287e-06,0.824847024544362
"39","FA_Mean","u10_at_age","SCZ",30711,1,5.81950913406701,0.015855192651674,0.252950807991803,0.253092401437374,0.000141593445571075,0.0899984847168898
"40","FA_Mean","u10_at_age","AD",30711,1,1.88406169180418,0.169883254847417,0.252950807991803,0.252996654639358,4.58466475550812e-05,0.409289773475818
"41","FA_Mean","v10_at_age","RDS1",28817,1,3.22781182090758,0.0724078377588335,0.250419588844034,0.250503578338881,8.39894948467257e-05,0.26383422665162
"42","FA_Mean","v10_at_age","N1",25080,1,0.197927147778964,0.656403061997063,0.24361618204232,0.243622154344935,5.97230261437098e-06,0.824847024544362
"43","FA_Mean","v10_at_age","ANX",30711,1,1.58507581975437,0.20804064843549,0.254407166646625,0.254445662970553,3.84963239279945e-05,0.449980164587245
"44","FA_Mean","v10_at_age","ADHD",30711,1,0.475309831612511,0.490559697319149,0.254407166646625,0.254418710790121,1.15441434956898e-05,0.696378119222766
"45","FA_Mean","v10_at_age","ASD",30711,1,0.00961236177201226,0.921899064547047,0.254407166646625,0.254407400111535,2.33464909960013e-07,0.950135140400953
"46","FA_Mean","v10_at_age","BIP",30711,1,10.8715407677331,0.000977641324511138,0.254407166646625,0.254671121083152,0.000263954436527325,0.023463874906013
"47","FA_Mean","v10_at_age","MDD",30711,1,4.33702982287298,0.0373001837333637,0.254407166646625,0.254512489519956,0.000105322873331593,0.149200734933455
"48","FA_Mean","v10_at_age","OCD",30711,1,0.124895308198875,0.723787037563488,0.254407166646625,0.254410200090753,3.03344412833084e-06,0.824847024544362
"49","FA_Mean","v10_at_age","SCZ",30711,1,5.61328671397416,0.0178309497928877,0.254407166646625,0.254543477194391,0.000136310547765695,0.0978527732536518
"50","FA_Mean","v10_at_age","AD",30711,1,1.97367706084069,0.160068221617,0.254407166646625,0.254455100221012,4.79335743867049e-05,0.394688765630959
"51","FA_Mean","sp_at_age","RDS1",28817,1,3.23830094582981,0.0719456636472639,0.248884583972215,0.248969018923484,8.44349512695297e-05,0.263215842611941
"52","FA_Mean","sp_at_age","N1",25080,1,0.16453893307944,0.685015013188833,0.241929086145827,0.24193406206479,4.97591896245209e-06,0.824847024544362
"53","FA_Mean","sp_at_age","ANX",30711,1,1.73373275834153,0.187944720640949,0.252872242695239,0.25291443589075,4.21931955104649e-05,0.447487430097498
"54","FA_Mean","sp_at_age","ADHD",30711,1,0.498195451103327,0.48029945637484,0.252872242695239,0.252884367576649,1.21248814099473e-05,0.694279498402734
"55","FA_Mean","sp_at_age","ASD",30711,1,0.0117200516921682,0.913790803427673,0.252872242695239,0.252872527937685,2.85242445552392e-07,0.950135140400953
"56","FA_Mean","sp_at_age","BIP",30711,1,10.8062030965954,0.0010127414860419,0.252872242695239,0.253135151459297,0.000262908764057601,0.023463874906013
"57","FA_Mean","sp_at_age","MDD",30711,1,4.60054837058166,0.0319695552268192,0.252872242695239,0.25298419403894,0.000111951343700289,0.13562224008436
"58","FA_Mean","sp_at_age","OCD",30711,1,0.116239873673658,0.733151316300898,0.252872242695239,0.252875071729941,2.82903470200102e-06,0.824847024544362
